text|stars
Great fruit and vegetables. Bulk items like nuts and cranberries are a good value. Check out the meat and deli. Cage free chicken and grass fed beef. Salmon and Tuna are fresh. They do have some good values here. The cashiers are good and give the nickel bag discount.|1
"As far as indie record stores, this is truly as good as it gets in the valley. It is a breath of fresh air because it is a REAL record store, and you can sample CD's along the wall to get your music fix. I love how they have a list of recommended new releases. I definitely refer to them if my music is getting stale. Recently, my husband and I have bought albums from Beirut, Andrew Bird and Iron & Wine. They have everything your heart desires- so go and get you some!  OH- and I just found out you can buy concert tickets there, and they usually give out a free ""Magnet"" magazine with each purchase. Woohoo!"|1
"A prospective customer at Sakana must check out the Customer Appreciation Sushi Roll menu before ordering from the ""main"" menu. Customer Appreciation rolls are the full size rolls at most Japanese restaurants in California and tastes just as good if not better.  $7 for 5 large cuts of Hamachi sashimi. Add $2 for a bowl of sushi rice and you will be in sashimi heaven. The Ikura at this restaurant are the best I have ever tasted anywhere.  Beers for as afforadable as $3.25. Sodas with free refills for $1.95.  Can you find this quality at these prices in Scottsdale? I didn't think so!"|1
great pho , boba :) and vermicelli .. awesome !|1
We came here for lunch and were a little leery when we first walked in. I had the cream of leek soup, my mother had the sausage salad, and my aunt had the Greek salad and we were all very impressed. We took a bangers and mash pasty to go, but we are so full, that it'll be awhile before we can try it. The service was a little slow, but the quality of food and atmosphere made up for the inconvenience.|1
Love this place...can't beat it for a healthy meal. Tons of good options that are tasty without all the cheese.|1
"*CASH AND CHECKS ONLY* *OPEN 9 AM, 7 DAYS A WEEK*  Love this place. Took my daughter here a year ago to get her very FIRST haircut. We had Miss Tara, who provided us with a ""first haircut"" certificate and she also had these tiny quarter-size ziploc bags for my daughter's very first strand of hair that she cut. The haircut was $15. Along with the haircut, Miss Tara styled it and put clips and glitter in her hair. My daughter LOVED it.   The place itself was kid-friendly. There's a little kitchen for the kids to play with while waiting for their haircut. There are 3 big kid chairs for older kids to get their haircut. And there are 2 car-styled chairs for the younger kids.   I took my daughter for her SECOND haircut today. We had Miss Annette. She was great. Again, my daughter got her hair styled after her haircut and got glitter and flowers put into her hair. The haircut was $15. We also got a punchcard, where you're 9th haircut will be free.   This place does walk-ins, but it is better to call and schedule an appointment since they don't have a specific opening/closing time. They take CASH ONLY so keep that in mind."|1
This is the best record store in Tempe, hands down.  Second best in the Valley (after Tracks in Wax).    I have been collecting records for almost 30 years now, and have been going to Eastside for about half that time - at least since I could conveniently drive out to the east valley, and regularly since I moved to this end of town about 10 years ago.  I remember the fish tank with the moray eel and the fact that the plaza they are in used to let them have twice the space.  It amazes me that they have survived all this time.  And, boy, am I glad they have.  A good chunk of my collection, and even my current turntable, has come from here.    If I ever won the lottery, I would probably spend enough money in one day here to keep the place in business for another few decades.  Heck, I'd even buy them a bigger place if I could!  This is one of the last truly independent record stores.  I'm happy to support them, and I hope everyone else will continue to do so as well.  Edit: They closed down on 12/31/10.  I'm going to miss them.  Hopefully they'll reopen somewhere else, even if it is only online.  My regret is that I didn't have enough money to do one final run through there.|1
A great little spot to find! Fresh, Fresh, Fresh Sushi and great eats! Be sure to try the green bean appetizer!|1
I've searched the world for the perfect pepperoni pizza.  I've searched it over and over again.  Damn it man!  I've wasted my life searching and searching to the farthest corners of the earth to find that saucy cheesy meaty delite!  Only to find that my favorite pepperoni pizza will always be Barro's,  a restaurant just around the corner from where I grew up.    I loathe you, you tasty cheesy bastards...oh, and can I have a large pepperoni to go?|1
My husband and I have eaten Chinese food all over Phoenix, and hands down, Big Wa has been the best.  The BBQ pork with fresh spicy mustard is A-Mazing!!  We have ordered about 6 different dishes from here, sometimes totally blind and the food is always great!|1
Dr. Koch and his staff are wonderful! I know that I am in great hands and being given the best care possible. They do a great job at working you in to the schedule if you have a last minute pain that needs some extra attention. I would highly reccomend Arizona Chiropractic to anyone!?|1
This is by far the best farmer's market I've been to in the Valley.  Still small by comparison to LA and the Bay Area but is off to a great start with lots of potential and space to grow into.  McClendon has a great spread of high quality mainly organic produce and is constantly restocking so it's ok if you don't get there first thing.  It was exciting to see beautiful Tuscan kale and broccoli rabe at prices lower than Sprouts.  Meyer lemons and blood oranges were also available.  Phoenician's outstanding loaves were only $3. You're welcome to sample - we particularly liked the Olive Walnut and Dark Chocolate Cherry.  We enjoyed Digestif's Frittata ($4) made with thin layers of potato, eggs, pork belly and spinach.  Other combinations available were Dandelion with Goat Cheese and Mushrooms with Garlic Confit. Executive Chef Payton Curry is also there to demonstrate pulling fresh mozzarella which is served with a variety of sauces and toppings,  It was fun walking around this bustling market sampling food, like tamales, which we intend to come back for next week.  If I can get myself out of bed at a decent hour on Sat, I'll be here for sure every week until the season ends in May.|1
"EXCELLENT CUSTOMER SERVICE!   Even with Happy Hour in full swing and the place full of parched Winkies, the service at our large table was spot on. We barely had time to settle our bums and push the silver out to claim our table territory before iced H20 was before us, our drink orders were taken . . . and one quick blink of the eye and the ""peacemakers"" were before us!    Now that's what I call HAPPY HOUR!  Bravo Thirsty Lion!"|1
We are picky about food because we try to eat healthy. Owner and server were very accommodating and courteous. They took time to understand what we want and delivered on it. One gripe, we had difficulty finding it because neon sign was not working. We had a great experience.|1
"So my coworkers and I decide we want donuts on a Weds. I know typically donuts are on Fridays but what the hay. In my search for a really good donut I go to the Internet and Google ""best donuts"" and low and behold Bosa Donuts comes up. They have 3 locations, and the one in Chandler has 12 reviews, which all raved about how great Bosa Donuts were. So I notice they have a location at 35th Ave and Glendale! I had seen it many times but never stopped in thinking it was just the average run of the mill donut shop. Boy was I wrong!  Bosa Donuts is by far the best donut I have had in a very long time, maybe ever! I stopped by for a dozen this morning and bought a little something special for myself. I got to the car and took one bite and was in heaven. The what I would call a Cinnamon Fry with crumb topping was to die for. What I liked the most was it was not greasy like some other donut shops. (I won't mention any names, you know who you are!) Lightly crisp on the outside and so tender on the inside. The crumb topping was just the icing on the cake. It was all I could do not stop and get some milk so I could utterly devour the rest of my donut on the way to work. I did have a bite of an Apple Fitter after getting to work and it was very yummy too. They have many varieties and some wonderfully looking croissants too. If you have not tried Bosa Donuts in Phoenix you are missing out!"|1
What a brewpub should be.  The beers are great. The food, the Slingers (wow) & the service is all top rate.  Lisa, the server was very helpfull. I need say no more.|1
I've been here a couple of times.  The first time was on first fridays.  I expected it to be packed, but I was able to walk right in and be seated.  They had a table reserved and they must not have shown, so we lucked out.  I got the Sante Fe, a roast beef panini, and it was great.  They had some good beers on tap too.  Its a cool little funky place to grab a good sandwhich.  The second time I came here it was after a concert.  There was some horrible band playing that I wish would have shut up so I could hear the people in front of me without having to feel sharp pains in my ear, but the meal was still good and I liked it.  Any place that is open late close to downtown is perfect, especially since the kitchen doesn't close until 12:30|1
"I came to Timo for my birthday last week after hearing rave reviews about it from a few friends of mine. I met up with the fabulous Jennifer T. and I was so happy to check this place out!  I like any place that I get to walk in through a back door. I passed through the very chill looking patio area first, another plus in my book. Plenty of outdoor seating that looked dangerously inviting once this hot hot heat cools off. Inside was intimate, but with the large windows, it wasn't dark and depressing. Like your own little happy wine bar world.  They have an amazing wood burning oven. Normally, that itself is plenty good enough, but then there's the food that comes out of that wonderful oven. I only tried the spinach and artichoke dip, which was the best I have ever had! It didn't have a pool of oil (first time for everything!), it was so fresh, and I really appreciated seeing the bread sliced fresh right in front of us, since we were sitting at the bar. I saw several other things (flatbread)  come out of that oven, and I will have to go back to try them! Everything smelled delicious and was presented with a touch of class without being pretentious. I was also very intrigued by the eggplant dip which is apparently ""better than baba!""   Now for the drinks. Holy cow. I've been drinking a few years now, so safe to say, I've tried many, many drinks. Or so I thought. Coconut mojito anyone!? Made with Ciroc Coconut vodka!  As tasty as mojitos are, I don't get a long well with rum, so vodka was a pleasant surprise, and the coconut just brought the mmmmmazing factor to a whole new level. I also tried the white sangria, another 5 stars. Great wine list too- Apothic Red is one of a few reds I like, and they have it!    The staff was top notch as well. I arrived shortly before a shift change, and both bartenders were personable and hard working, and truly seemed to enjoy what they were doing. I'm pretty bad with names unfortunately, or I would love to mention them.  I can't wait to go back! For drinks and food! I think I'd even go alone for lunch if I didn't have any company!"|1
I took my daughter there to get her nose pierced for her birthday, they were very nice and professional and made her feel comfortable.  Its a nice shop and they were very friendly and did a great job.  I will definitely recommend them!|1
i love this place. very rarely do i get to go out and tie one on. when i do, this is were i want to be at some point in the night. where else can i go and request the cramps? i...love...this...place, it makes me happy. i suppose i should go on and on about what it's like, but i won't. go and experience it for yourself.|1
"Dave at Dave's Ashtanga is the best yoga teacher. He is kind, considerate, patient and a very nice person. He will take the time to show you a yoga move or asana. He is very knowledgeable about different subjects. What I like best is once he said, ""here you can do nothing wrong."""|1
The best food I have found the area and the price is right.  You get so much food you have to take home.  Get there early to get a good seat fills up for lunch.  Priced just right.|1
Fast service, the woman who did my hair was great and it was the cheapest hair cut I've ever gotten. I was told that my hair cut looked better than when I was paying $200+|1
Mims Burger & Mexican Food was revealed to me by my sister and sometimes when I think about it (even when I JUST ate), my stomach growls.  The restaurant itself just SMELLS GOOD sitting there and waiting for your food to arrive.  The strange name would sort of, you know, ordinarily turn me off from trying the place because I think when restaurants serve this AND this they usually just serve two wildly different forms of food, both of which suck.  Mims serves legitimately good Mexican food, burgers, hotdogs and everything else.  Even if you're NOT in the area, it's worth going a bit out of your way for it.  Five stars.  Places don't get much better.|1
